Name of Product,Is Accepted Policy,agree value,StemmedText
Luxury Gourmet Chocolate Box for Chocolate Connoisseurs and Sweet Tooth,Yes,1,luxuri gourmet chocol box for chocol connoisseur and sweet tooth
Advanced Gaming Laptop with RGB Lighting and High-FPS Display,Yes,1,advanc game laptop with rgb light and high-fp display
Premium Espresso Machine with Frothing Wand and Multiple Brew Options,Yes,1,premium espresso machin with froth wand and multipl brew option
Professional Running Shoes with Cushioned Insoles for Maximum Comfort,Yes,1,profession run shoe with cushion insol for maximum comfort
Latest iPhone Model with AI-Powered Camera and Face Recognition,Yes,1,latest iphon model with ai-pow camera and face recognit
Gaming Console Bundle with Virtual Reality Integration and Exclusive Games,Yes,1,game consol bundl with virtual realiti integr and exclus game
Epic Love Story Novel Set in the Romantic Streets of Paris,No,0,epic love stori novel set in the romant street of pari
Ultra-Realistic Toy Gun for Outdoor Play Adventures,No,0,ultra-realist toy gun for outdoor play adventur
Action Movie Marathon Collection with Thrilling Special Features,Yes,1,action movi marathon collect with thrill special featur
Organic Herbal Tea Sampler Pack for Relaxation and Well-Being,No,0,organ herbal tea sampler pack for relax and well-b
Smart Fitness Tracker with Advanced Health Monitoring Features,Yes,1,smart fit tracker with advanc health monitor featur
Ergonomic Office Chair with Adjustable Lumbar Support and Breathable Mesh,Yes,1,ergonom offic chair with adjust lumbar support and breathabl mesh
Engaging Adult Board Game for Hilarious Game Nights,No,0,engag adult board game for hilari game night
Paintball Gun Kit with Safety Gear and Colorful Paint Options,No,0,paintbal gun kit with safeti gear and color paint option
Bestselling Adventure Book Series Collection for Avid Readers,Yes,1,bestsel adventur book seri collect for avid reader
Natural Energy Drink Variety Pack for a Boost of Energy,No,0,natur energi drink varieti pack for a boost of energi
Latest Smartphone with AI-Powered Features and Stunning Design,Yes,1,latest smartphon with ai-pow featur and stun design
Complete Cooking Utensils Set for Gourmet Meals and Culinary Creations,Yes,1,complet cook utensil set for gourmet meal and culinari creation
Quality Violin for Beginners with Accessories and Online Lessons,Yes,1,qualiti violin for beginn with accessori and onlin lesson
Explicit Art Print for Home Decor Enthusiasts,No,0,explicit art print for home decor enthusiast
Immersive Virtual Reality Headset for Gaming and 360-Degree Experiences,Yes,1,immers virtual realiti headset for game and 360-degre experi
Top-Rated Running Shoes for Marathon Training and Trail Running,Yes,1,top-rat run shoe for marathon train and trail run
Complete Musical Instrument Set for Kids with Educational Booklet,Yes,1,complet music instrument set for kid with educ booklet
High-Quality Camping Knife for Outdoor Enthusiasts and Survivalists,No,0,high-qual camp knife for outdoor enthusiast and survivalist
Sci-Fi Movie Marathon Collection with Classic and Modern Titles,Yes,1,sci-fi movi marathon collect with classic and modern titl
Organic Herbal Supplement Capsules for Natural Wellness,No,0,organ herbal supplement capsul for natur well
Photography Book with Stunning Visuals and Expert Tips,Yes,1,photographi book with stun visual and expert tip
Smart Thermostat for Home Automation and Energy Efficiency,Yes,1,smart thermostat for home autom and energi effici
Home Gym Equipment Set for Full-Body Workouts and Fitness Goals,Yes,1,home gym equip set for full-bodi workout and fit goal
Strategic Board Game for Family Fun and Brain Training,Yes,1,strateg board game for famili fun and brain train
Premium Yoga Mat with Non-Slip Surface and Comfortable Padding,Yes,1,premium yoga mat with non-slip surfac and comfort pad
Street Art Print for Modern Interiors and Urban Decor,Yes,1,street art print for modern interior and urban decor
Professional Karaoke Machine with Wireless Microphones and Echo Control,Yes,1,profession karaok machin with wireless microphon and echo control
Mountain Bike for Off-Road Adventures and Mountain Trails,Yes,1,mountain bike for off-road adventur and mountain trail
Culinary Torch for Creative Cooking and Dessert Making,No,0,culinari torch for creativ cook and dessert make
Classical Violin Sonata Sheet Music Book for Aspiring Musicians,Yes,1,classic violin sonata sheet music book for aspir musician
High-Quality Guitar Pick Set for Musicians and Guitar Enthusiasts,Yes,1,high-qual guitar pick set for musician and guitar enthusiast
Stress Ball for Relaxation and Stress Relief in Vibrant Colors,Yes,1,stress ball for relax and stress relief in vibrant color
Chemistry Set for Kids with Safe Experiments and Educational Fun,Yes,1,chemistri set for kid with safe experi and educ fun
Elegant Wine Glasses Set for Special Occasions and Wine Tasting,Yes,1,eleg wine glass set for special occas and wine tast
Classical Violin Concerto CD Collection for Music Lovers,Yes,1,classic violin concerto cd collect for music lover
Telescope for Stargazing Adventures and Astronomy Enthusiasts,Yes,1,telescop for stargaz adventur and astronomi enthusiast
Powerful Juicer for Fresh Fruit and Vegetable Juices at Home,Yes,1,power juicer for fresh fruit and veget juic at home
Origami Kit with Beautiful Origami Paper and Instructional Guide,Yes,1,origami kit with beauti origami paper and instruct guid
Craft Beer Making Kit for Homebrewing Enthusiasts,No,0,craft beer make kit for homebrew enthusiast
Timeless Classic Literature Book Collection for Bookworms,Yes,1,timeless classic literatur book collect for bookworm
Challenging Puzzle Game for Mind Workout and Cognitive Skills,Yes,1,challeng puzzl game for mind workout and cognit skill
Top-Rated Home Security System with Cameras and Smart Features,Yes,1,top-rat home secur system with camera and smart featur
Adult Coloring Book with Intricate Designs for Art Therapy,No,0,adult color book with intric design for art therapi
Dumbbell Set for Strength Training Workouts and Fitness Regimen,Yes,1,dumbbel set for strength train workout and fit regimen
Gourmet Cookbook with Chef-Approved Recipes and Culinary Delights,Yes,1,gourmet cookbook with chef-approv recip and culinari delight
Virtual Cooking Class Experience for Foodies and Home Cooks,Yes,1,virtual cook class experi for foodi and home cook
Exquisite Glass Art Sculpture for Home Decor and Art Collectors,Yes,1,exquisit glass art sculptur for home decor and art collector
Ceramic Pottery Kit for Creative Art Projects and Pottery Enthusiasts,Yes,1,ceram potteri kit for creativ art project and potteri enthusiast
Thrilling Violent Crime Novel Series with Captivating Plots,Yes,1,thrill violent crime novel seri with captiv plot
High-End Bird Watching Binoculars with HD Vision and Bird Identification,Yes,1,high-end bird watch binocular with hd vision and bird identif
Candle Making Kit for DIY Candle Lovers and Aromatherapy,No,0,candl make kit for diy candl lover and aromatherapi
Botanical Garden Tour Experience for Nature Enthusiasts and Garden Lovers,Yes,1,botan garden tour experi for natur enthusiast and garden lover
Archery Set for Outdoor Target Practice and Archery Enthusiasts,Yes,1,archeri set for outdoor target practic and archeri enthusiast
Travel Photography Book with Breathtaking Images and Travel Inspiration,Yes,1,travel photographi book with breathtak imag and travel inspir
Peaceful Nature Sounds CD for Relaxation and Stress Relief,Yes,1,peac natur sound cd for relax and stress relief
Spacious Camping Tent for Outdoor Adventures and Camping Enthusiasts,Yes,1,spaciou camp tent for outdoor adventur and camp enthusiast
Mindfulness Meditation App for Stress Relief and Mindful Living,Yes,1,mind medit app for stress relief and mind live
Professional Carving Knife Set for Culinary Experts and Chefs,Yes,1,profession carv knife set for culinari expert and chef
Unique Birdhouse DIY Kit for Bird Lovers and DIY Enthusiasts,Yes,1,uniqu birdhous diy kit for bird lover and diy enthusiast
Engaging Detective Board Game for Mystery Fans and Game Nights,Yes,1,engag detect board game for mysteri fan and game night
Beautiful Tarot Card Deck for Spiritual Exploration and Divination,Yes,1,beauti tarot card deck for spiritu explor and divin
Antique Pistol Reproduction for Collectors and History Enthusiasts,No,0,antiqu pistol reproduct for collector and histori enthusiast
Glass Blowing Workshop Experience for Creativity and Art Enthusiasts,Yes,1,glass blow workshop experi for creativ and art enthusiast
Premium Home Exercise Bike for Fitness Goals and Indoor Cycling,Yes,1,premium home exercis bike for fit goal and indoor cycl
Dazzling Fireworks Kit for Celebrations and Festive Occasions,No,0,dazzl firework kit for celebr and festiv occas
Glow-in-the-dark Body Paint Set for Events and Creative Celebrations,No,0,glow-in-the-dark bodi paint set for event and creativ celebr
Professional Basketball Hoop for Backyard Fun and Basketball Enthusiasts,Yes,1,profession basketbal hoop for backyard fun and basketbal enthusiast
Comprehensive Pet First Aid Kit for Pet Owners and Animal Lovers,Yes,1,comprehens pet first aid kit for pet owner and anim lover
High-Performance Gaming Laptop with RGB Keyboard,Yes,1,high-perform game laptop with rgb keyboard
Premium Italian Espresso Machine with Milk Frother,Yes,1,premium italian espresso machin with milk frother
Professional Grade Running Shoes with Air Cushion Technology,Yes,1,profession grade run shoe with air cushion technolog
Latest Model iPhone with Advanced Camera Features,Yes,1,latest model iphon with advanc camera featur
Gaming Console Bundle with 10 Top-Rated Games,Yes,1,game consol bundl with 10 top-rat game
Epic Love Story Novel Set in Historical France,No,0,epic love stori novel set in histor franc
Ultra-Realistic Toy Gun for Outdoor Play,No,0,ultra-realist toy gun for outdoor play
Action-Packed Adventure Movie Marathon Collection,Yes,1,action-pack adventur movi marathon collect
Organic Herbal Tea Sampler Pack,No,0,organ herbal tea sampler pack
Smart Fitness Tracker with Heart Rate Monitor,Yes,1,smart fit tracker with heart rate monitor
Ergonomic Office Chair with Adjustable Lumbar Support,Yes,1,ergonom offic chair with adjust lumbar support
Adult Board Game for Hilarious Game Nights,No,0,adult board game for hilari game night
Paintball Gun Kit with Safety Gear,No,0,paintbal gun kit with safeti gear
Bestselling Adventure Book Series Collection,Yes,1,bestsel adventur book seri collect
Natural Energy Drink Variety Pack,No,0,natur energi drink varieti pack
Latest Smartphone with AI-Powered Features,Yes,1,latest smartphon with ai-pow featur
Complete Cooking Utensils Set for Gourmet Meals,Yes,1,complet cook utensil set for gourmet meal
Quality Violin for Beginners with Accessories,Yes,1,qualiti violin for beginn with accessori
Explicit Art Print for Home Decor,No,0,explicit art print for home decor
Immersive Virtual Reality Headset for Gaming,Yes,1,immers virtual realiti headset for game
Top-Rated Running Shoes for Marathon Training,Yes,1,top-rat run shoe for marathon train
Complete Musical Instrument Set for Kids,Yes,1,complet music instrument set for kid
High-Quality Camping Knife for Outdoor Enthusiasts,No,0,high-qual camp knife for outdoor enthusiast
Sci-Fi Movie Marathon Collection,Yes,1,sci-fi movi marathon collect
Organic Herbal Supplement Capsules,No,0,organ herbal supplement capsul
Photography Book with Stunning Visuals,Yes,1,photographi book with stun visual
Smart Thermostat for Home Automation,Yes,1,smart thermostat for home autom
Home Gym Equipment Set for Full-Body Workouts,Yes,1,home gym equip set for full-bodi workout
Strategic Board Game for Family Fun,Yes,1,strateg board game for famili fun
Non-Violent Video Game Collection,Yes,1,non-viol video game collect
Premium Yoga Mat with Non-Slip Surface,Yes,1,premium yoga mat with non-slip surfac
Street Art Print for Modern Interiors,Yes,1,street art print for modern interior
Professional Karaoke Machine with Wireless Microphones,Yes,1,profession karaok machin with wireless microphon
Mountain Bike for Off-Road Adventures,Yes,1,mountain bike for off-road adventur
Culinary Torch for Creative Cooking,No,0,culinari torch for creativ cook
Classical Violin Sonata Sheet Music Book,Yes,1,classic violin sonata sheet music book
High-Quality Guitar Pick Set for Musicians,Yes,1,high-qual guitar pick set for musician
Stress Ball for Relaxation and Stress Relief,Yes,1,stress ball for relax and stress relief
Chemistry Set for Kids with Safe Experiments,Yes,1,chemistri set for kid with safe experi
Elegant Wine Glasses Set for Special Occasions,Yes,1,eleg wine glass set for special occas
Classical Violin Concerto CD Collection,Yes,1,classic violin concerto cd collect
Telescope for Stargazing Adventures,Yes,1,telescop for stargaz adventur
Powerful Juicer for Fresh Fruit and Vegetable Juices,Yes,1,power juicer for fresh fruit and veget juic
Origami Kit with Beautiful Origami Paper,Yes,1,origami kit with beauti origami paper
Craft Beer Making Kit for Homebrewing,No,0,craft beer make kit for homebrew
Timeless Classic Literature Book Collection,Yes,1,timeless classic literatur book collect
Challenging Puzzle Game for Mind Workout,Yes,1,challeng puzzl game for mind workout
Top-Rated Home Security System with Cameras,Yes,1,top-rat home secur system with camera
Adult Coloring Book with Intricate Designs,No,0,adult color book with intric design
Dumbbell Set for Strength Training Workouts,Yes,1,dumbbel set for strength train workout
Gourmet Cookbook with Chef-Approved Recipes,Yes,1,gourmet cookbook with chef-approv recip
Virtual Cooking Class Experience for Foodies,Yes,1,virtual cook class experi for foodi
Exquisite Glass Art Sculpture for Home Decor,Yes,1,exquisit glass art sculptur for home decor
Ceramic Pottery Kit for Creative Art Projects,Yes,1,ceram potteri kit for creativ art project
Thrilling Violent Crime Novel Series,Yes,1,thrill violent crime novel seri
High-End Bird Watching Binoculars with HD Vision,Yes,1,high-end bird watch binocular with hd vision
Candle Making Kit for DIY Candle Lovers,Yes,1,candl make kit for diy candl lover
Botanical Garden Tour Experience for Nature Enthusiasts,Yes,1,botan garden tour experi for natur enthusiast
Archery Set for Outdoor Target Practice,Yes,1,archeri set for outdoor target practic
Travel Photography Book with Breathtaking Images,Yes,1,travel photographi book with breathtak imag
Peaceful Nature Sounds CD for Relaxation,Yes,1,peac natur sound cd for relax
Spacious Camping Tent for Outdoor Adventures,Yes,1,spaciou camp tent for outdoor adventur
Mindfulness Meditation App for Stress Relief,Yes,1,mind medit app for stress relief
Aromatic Herbal Incense Set for Home Relaxation,No,0,aromat herbal incens set for home relax
Professional Carving Knife Set for Culinary Experts,Yes,1,profession carv knife set for culinari expert
Star Wars Action Figures Collector's Set,Yes,1,star war action figur collector 's set
Unique Birdhouse DIY Kit for Bird Lovers,Yes,1,uniqu birdhous diy kit for bird lover
Engaging Detective Board Game for Mystery Fans,Yes,1,engag detect board game for mysteri fan
Home Brewing Kit for Craft Beer Enthusiasts,No,0,home brew kit for craft beer enthusiast
Interactive Cooking Class Gift Certificate,Yes,1,interact cook class gift certif
Sushi Making Kit for Homemade Sushi Delights,Yes,1,sushi make kit for homemad sushi delight
Beautiful Tarot Card Deck for Spiritual Exploration,Yes,1,beauti tarot card deck for spiritu explor
Antique Pistol Reproduction for Collectors,No,0,antiqu pistol reproduct for collector
Glass Blowing Workshop Experience for Creativity,Yes,1,glass blow workshop experi for creativ
Insightful Artificial Intelligence Book for Tech Enthusiasts,Yes,1,insight artifici intellig book for tech enthusiast
Premium Home Exercise Bike for Fitness Goals,Yes,1,premium home exercis bike for fit goal
Dazzling Fireworks Kit for Celebrations,No,0,dazzl firework kit for celebr
Collectible Sword Replica for History Buffs,Yes,1,collect sword replica for histori buff
Glow-in-the-dark Body Paint Set for Events,No,0,glow-in-the-dark bodi paint set for event
Professional Basketball Hoop for Backyard Fun,Yes,1,profession basketbal hoop for backyard fun
Comprehensive Pet First Aid Kit for Pet Owners,Yes,1,comprehens pet first aid kit for pet owner
Luxury Gourmet Chocolate Box for Chocolate Connoisseurs,Yes,1,luxuri gourmet chocol box for chocol connoisseur
Laptop,Yes,1,laptop
Coffee Maker,Yes,1,coffe maker
Sports Shoes,Yes,1,sport shoe
iPhone,Yes,1,iphon
Gaming Console,Yes,1,game consol
Romantic Novel,No,0,romant novel
Toy Gun,No,0,toy gun
Action Movie,Yes,1,action movi
Herbal Tea,No,0,herbal tea
Fitness Tracker,Yes,1,fit tracker
Office Chair,Yes,1,offic chair
Adult Board Game,No,0,adult board game
Paintball Gun,No,0,paintbal gun
Adventure Book,Yes,1,adventur book
Energy Drink,No,0,energi drink
Smartphone,Yes,1,smartphon
Cooking Utensils,Yes,1,cook utensil
Violin,Yes,1,violin
Explicit Art Print,No,0,explicit art print
Virtual Reality Headset,Yes,1,virtual realiti headset
Running Shoes,Yes,1,run shoe
Musical Instrument Set,Yes,1,music instrument set
Camping Knife,No,0,camp knife
Science Fiction Movie,Yes,1,scienc fiction movi
Herbal Supplement,No,0,herbal supplement
Photography Book,Yes,1,photographi book
Smart Thermostat,Yes,1,smart thermostat
Gym Equipment,Yes,1,gym equip
Board Game,Yes,1,board game
Non-violent Video Game,Yes,1,non-viol video game
Yoga Mat,Yes,1,yoga mat
Street Art Print,Yes,1,street art print
Karaoke Machine,Yes,1,karaok machin
Mountain Bike,Yes,1,mountain bike
Culinary Torch,No,0,culinari torch
Violin Sonata Sheet Music,Yes,1,violin sonata sheet music
Guitar Pick Set,Yes,1,guitar pick set
Stress Ball,Yes,1,stress ball
Chemistry Set,Yes,1,chemistri set
Wine Glasses,Yes,1,wine glass
Violin Concerto CD,Yes,1,violin concerto cd
Telescope,Yes,1,telescop
Juicer,Yes,1,juicer
Origami Kit,Yes,1,origami kit
Alcoholic Beverages Kit,No,0,alcohol beverag kit
Classic Literature Book,Yes,1,classic literatur book
Puzzle Game,Yes,1,puzzl game
Home Security System,Yes,1,home secur system
Adult Coloring Book,No,0,adult color book
Dumbbell Set,Yes,1,dumbbel set
Cookbook,Yes,1,cookbook
Virtual Cooking Class,Yes,1,virtual cook class
Glass Art Sculpture,Yes,1,glass art sculptur
Ceramic Pottery Kit,Yes,1,ceram potteri kit
Violent Crime Novel,Yes,1,violent crime novel
Bird Watching Binoculars,Yes,1,bird watch binocular
Candle Making Kit,Yes,1,candl make kit
Botanical Garden Tour,Yes,1,botan garden tour
Archery Set,Yes,1,archeri set
Travel Photography Book,Yes,1,travel photographi book
Peaceful Nature Sounds CD,Yes,1,peac natur sound cd
Camping Tent,Yes,1,camp tent
Mindfulness Meditation App,Yes,1,mind medit app
Herbal Incense Set,No,0,herbal incens set
Carving Knife Set,Yes,1,carv knife set
Star Wars Action Figures,Yes,1,star war action figur
Birdhouse DIY Kit,Yes,1,birdhous diy kit
Detective Board Game,Yes,1,detect board game
Home Brewing Kit,No,0,home brew kit
Cooking Class Gift Certificate,Yes,1,cook class gift certif
Sushi Making Kit,Yes,1,sushi make kit
Tarot Card Deck,Yes,1,tarot card deck
Antique Pistol Reproduction,No,0,antiqu pistol reproduct
Glass Blowing Workshop,Yes,1,glass blow workshop
Artificial Intelligence Book,Yes,1,artifici intellig book
Home Exercise Bike,Yes,1,home exercis bike
Fireworks Kit,No,0,firework kit
Collectible Sword,Yes,1,collect sword
Glow-in-the-dark Body Paint Set,No,0,glow-in-the-dark bodi paint set
Basketball Hoop,Yes,1,basketbal hoop
Pet First Aid Kit,Yes,1,pet first aid kit
Gourmet Chocolate Box,Yes,1,gourmet chocol box
Innovative Gaming Laptop with RGB Lighting and High-Frequency Display,Yes,1,innov game laptop with rgb light and high-frequ display
Deluxe Espresso Machine with Integrated Milk Frother and Multiple Brew Options,Yes,1,delux espresso machin with integr milk frother and multipl brew option
Professional Running Shoes with Responsive Cushioning for Optimal Performance,Yes,1,profession run shoe with respons cushion for optim perform
Next-Gen iPhone Pro Max with Triple-Camera System and 5G Connectivity,Yes,1,next-gen iphon pro max with triple-camera system and 5g connect
Cutting-Edge Gaming Console with 4K Graphics and Exclusive Titles,Yes,1,cutting-edg game consol with 4k graphic and exclus titl
Epic Romantic Novel Set in the Enchanting Countryside of Tuscany,No,0,epic romant novel set in the enchant countrysid of tuscani
Realistic Toy Sniper Rifle for Outdoor Tactical Play,No,0,realist toy sniper rifl for outdoor tactic play
Action Movie Marathon Collection in 4K Ultra HD with Surround Sound,Yes,1,action movi marathon collect in 4k ultra hd with surround sound
Organic Herbal Infusion Collection for Relaxation and Holistic Wellness,No,0,organ herbal infus collect for relax and holist well
Engaging Adult Board Game for Unforgettable Game Nights,No,0,engag adult board game for unforgett game night
Bestselling Adventure Book Series Set in Captivating Fantasy Realms,Yes,1,bestsel adventur book seri set in captiv fantasi realm
Provocative Art Print for Modern Home Decor and Art Enthusiasts,No,0,provoc art print for modern home decor and art enthusiast
Sci-Fi Movie Collection with Classic and Modern Titles,Yes,1,sci-fi movi collect with classic and modern titl
Complete Classical Violin Sonata Sheet Music Book for Musicians,Yes,1,complet classic violin sonata sheet music book for musician
Innovative Smart Home Security System with AI Surveillance,Yes,1,innov smart home secur system with ai surveil
Premium Noise-Canceling Wireless Headphones for Ultimate Music Experience,Yes,1,premium noise-cancel wireless headphon for ultim music experi
